time,open,high,low,close,tick_volume,spread,real_volume
2024-08-12 08:00:00,1.09181,1.0919699999999999,1.09181,1.09188,278,15,0
2024-08-12 08:15:00,1.09187,1.09202,1.09186,1.09195,236,15,0
2024-08-12 08:30:00,1.09196,1.0919699999999999,1.09179,1.09183,310,15,0
2024-08-12 08:45:00,1.09181,1.09189,1.09167,1.0918,294,15,0
2024-08-12 09:00:00,1.0918,1.09206,1.09165,1.09195,624,15,0
2024-08-12 09:15:00,1.09195,1.09207,1.0915,1.09178,685,15,0
2024-08-12 09:30:00,1.09177,1.09219,1.09176,1.09206,663,15,0
2024-08-12 09:45:00,1.09206,1.09227,1.09183,1.09203,780,15,0
2024-08-12 10:00:00,1.09202,1.09245,1.09194,1.09243,920,15,0
2024-08-12 10:15:00,1.09243,1.09277,1.09233,1.09263,814,15,0
2024-08-12 10:30:00,1.09263,1.09264,1.09189,1.09206,808,15,0
2024-08-12 10:45:00,1.09207,1.09219,1.09187,1.09218,937,15,0
2024-08-12 11:00:00,1.09219,1.09245,1.09164,1.09165,893,15,0
2024-08-12 11:15:00,1.09166,1.09202,1.09152,1.09165,667,15,0
2024-08-12 11:30:00,1.09166,1.09194,1.09155,1.09181,730,15,0
2024-08-12 11:45:00,1.0918,1.09204,1.09165,1.09199,785,15,0
2024-08-12 12:00:00,1.09198,1.09226,1.09168,1.09226,583,15,0
2024-08-12 12:15:00,1.09227,1.09233,1.09203,1.09216,485,15,0
2024-08-12 12:30:00,1.09218,1.09271,1.09217,1.0925799999999999,567,15,0
2024-08-12 12:45:00,1.09257,1.09259,1.09237,1.09259,561,15,0
2024-08-12 13:00:00,1.0926,1.09288,1.09243,1.09282,585,15,0
2024-08-12 13:15:00,1.09283,1.0929,1.0924800000000001,1.09283,633,15,0
2024-08-12 13:30:00,1.09284,1.09287,1.09209,1.09254,453,15,0
2024-08-12 13:45:00,1.09254,1.09264,1.0923,1.09257,551,15,0
2024-08-12 14:00:00,1.09257,1.09284,1.09245,1.09249,686,15,0
2024-08-12 14:15:00,1.0924800000000001,1.09249,1.09206,1.09211,435,15,0
2024-08-12 14:30:00,1.0921,1.09215,1.09189,1.09201,572,15,0
2024-08-12 14:45:00,1.09202,1.09259,1.09192,1.0924800000000001,546,15,0
2024-08-12 15:00:00,1.09249,1.0928,1.09199,1.09219,693,15,0
2024-08-12 15:15:00,1.0922,1.09226,1.09204,1.09211,644,15,0
2024-08-12 15:30:00,1.0921,1.09221,1.09174,1.09177,596,15,0
