close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
1,0.008,0.008,0.001,0.002,-2.527043918274766
1,0.008,0.002,0.001,0.002,-2.527043918274766
1,0.008,0.007,0.001,0.002,-2.527043918274766
1,0.005,0.006,0.001,0.005,-2.5142705057880903
1,0.005,0.001,0.001,0.005,-2.5142705057880903
1,0.005,0.002,0.001,0.005,-2.5142705057880903
1,0.005,0.003,0.001,0.005,-2.5142705057880903
1,0.005,0.008,0.001,0.005,-2.5142705057880903
1,0.005,0.007,0.001,0.005,-2.5142705057880903
1,0.005,0.005,0.001,0.005,-2.5142705057880903
1,0.005,0.004,0.001,0.005,-2.5142705057880903
1,0.008,0.007,0.001,0.005,-2.506351161932988
1,0.008,0.005,0.001,0.005,-2.506351161932988
1,0.008,0.008,0.001,0.005,-2.506351161932988
1,0.008,0.003,0.001,0.005,-2.506351161932988
1,0.008,0.006,0.001,0.005,-2.506351161932988
1,0.008,0.002,0.001,0.005,-2.506351161932988
1,0.008,0.004,0.001,0.005,-2.506351161932988
1,0.008,0.001,0.001,0.005,-2.506351161932988
2,0.007,0.004,0.001,0.005,-2.211532396076412
2,0.007,0.006,0.001,0.005,-2.211532396076412
2,0.007,0.005,0.001,0.005,-2.211532396076412
2,0.007,0.007,0.001,0.005,-2.211532396076412
2,0.007,0.008,0.001,0.005,-2.211532396076412
2,0.007,0.003,0.001,0.005,-2.211532396076412
2,0.007,0.001,0.001,0.005,-2.211532396076412
2,0.007,0.002,0.001,0.005,-2.211532396076412
1,0.005,0.003,0.001,0.002,-2.14416502017959
1,0.005,0.006,0.001,0.002,-2.14416502017959
1,0.005,0.004,0.001,0.002,-2.14416502017959
1,0.005,0.001,0.001,0.002,-2.14416502017959
1,0.005,0.008,0.001,0.002,-2.14416502017959
1,0.005,0.007,0.001,0.002,-2.14416502017959
1,0.005,0.002,0.001,0.002,-2.14416502017959
1,0.005,0.005,0.001,0.002,-2.14416502017959
2,0.007,0.003,0.001,0.002,-2.133433159398995
2,0.007,0.001,0.001,0.002,-2.133433159398995
2,0.007,0.004,0.001,0.002,-2.133433159398995
2,0.007,0.007,0.001,0.002,-2.133433159398995
2,0.007,0.008,0.001,0.002,-2.133433159398995
2,0.007,0.002,0.001,0.002,-2.133433159398995
2,0.007,0.006,0.001,0.002,-2.133433159398995
2,0.007,0.005,0.001,0.002,-2.133433159398995
1,0.002,0.004,0.001,0.004,-2.0604864284773425
1,0.002,0.002,0.001,0.004,-2.0604864284773425
1,0.002,0.003,0.001,0.004,-2.0604864284773425
1,0.002,0.006,0.001,0.004,-2.0604864284773425
1,0.002,0.005,0.001,0.004,-2.0604864284773425
1,0.002,0.007,0.001,0.004,-2.0604864284773425
1,0.002,0.001,0.001,0.004,-2.0604864284773425
1,0.002,0.008,0.001,0.004,-2.0604864284773425
